InterZone,MMWard,Council,SPConst,CHP,HBCode
S02001482,S13002560,S12000008,S16000087,S03000001,S08000015
S02001483,S13002560,S12000008,S16000087,S03000001,S08000015
S02001484,S13002560,S12000008,S16000087,S03000001,S08000015
S02001485,S13002559,S12000008,S16000087,S03000001,S08000015
S02001486,S13002558,S12000008,S16000126,S03000001,S08000015
S02001487,S13002553,S12000008,S16000126,S03000001,S08000015
S02001488,S13002553,S12000008,S16000126,S03000001,S08000015
S02001489,S13002558,S12000008,S16000126,S03000001,S08000015
S02001490,S13002558,S12000008,S16000126,S03000001,S08000015
S02001491,S13002558,S12000008,S16000126,S03000001,S08000015
S02001492,S13002556,S12000008,S16000126,S03000001,S08000015
S02001493,S13002557,S12000008,S16000126,S03000001,S08000015
S02001494,S13002557,S12000008,S16000126,S03000001,S08000015
S02001495,S13002557,S12000008,S16000126,S03000001,S08000015
S02001496,S13002556,S12000008,S16000126,S03000001,S08000015
S02001497,S13002556,S12000008,S16000126,S03000001,S08000015
S02001498,S13002556,S12000008,S16000126,S03000001,S08000015
S02001499,S13002554,S12000008,S16000126,S03000001,S08000015
S02001500,S13002554,S12000008,S16000126,S03000001,S08000015
S02001501,S13002555,S12000008,S16000126,S03000001,S08000015
S02001502,S13002555,S12000008,S16000126,S03000001,S08000015
S02001503,S13002555,S12000008,S16000126,S03000001,S08000015
S02001504,S13002555,S12000008,S16000126,S03000001,S08000015
S02001505,S13002553,S12000008,S16000126,S03000001,S08000015
S02001506,S13002562,S12000045,S16000089,S03000015,S08000021
S02001507,S13002562,S12000045,S16000089,S03000015,S08000021
S02001508,S13002562,S12000045,S16000089,S03000015,S08000021
S02001509,S13002562,S12000045,S16000089,S03000015,S08000021
S02001510,S13002563,S12000045,S16000089,S03000015,S08000021
S02001511,S13002563,S12000045,S16000089,S03000015,S08000021
S02001512,S13002563,S12000045,S16000089,S03000015,S08000021
S02001513,S13002563,S12000045,S16000089,S03000015,S08000021
S02001514,S13002564,S12000045,S16000145,S03000015,S08000021
S02001515,S13002564,S12000045,S16000145,S03000015,S08000021
S02001516,S13002564,S12000045,S16000145,S03000015,S08000021
S02001517,S13002564,S12000045,S16000145,S03000015,S08000021
S02001518,S13002566,S12000045,S16000145,S03000015,S08000021
S02001519,S13002566,S12000045,S16000145,S03000015,S08000021
S02001520,S13002566,S12000045,S16000145,S03000015,S08000021
S02001521,S13002833,S12000045,S16000145,S03000015,S08000021
S02001522,S13002833,S12000045,S16000145,S03000015,S08000021
S02001523,S13002833,S12000045,S16000145,S03000015,S08000021
S02001524,S13002568,S12000045,S16000145,S03000015,S08000021
S02001525,S13002568,S12000045,S16000145,S03000015,S08000021
S02001526,S13002568,S12000045,S16000145,S03000015,S08000021
S02001527,S13002565,S12000045,S16000145,S03000015,S08000021
S02001528,S13002569,S12000045,S16000145,S03000015,S08000021
S02001529,S13002569,S12000045,S16000145,S03000015,S08000021
S02001530,S13002569,S12000045,S16000145,S03000015,S08000021
S02001531,S13002569,S12000045,S16000145,S03000015,S08000021
S02001532,S13002565,S12000045,S16000145,S03000015,S08000021
S02001533,S13002565,S12000045,S16000145,S03000015,S08000021
S02001534,S13002571,S12000010,S16000130,S03000031,S08000024
S02001535,S13002570,S12000010,S16000130,S03000031,S08000024
S02001536,S13002570,S12000010,S16000130,S03000031,S08000024
S02001537,S13002570,S12000010,S16000130,S03000031,S08000024
S02001538,S13002571,S12000010,S16000130,S03000031,S08000024
S02001539,S13002571,S12000010,S16000130,S03000031,S08000024
S02001540,S13002572,S12000010,S16000102,S03000031,S08000024
S02001541,S13002572,S12000010,S16000102,S03000031,S08000024
S02001542,S13002572,S12000010,S16000102,S03000031,S08000024
S02001543,S13002573,S12000010,S16000102,S03000031,S08000024
S02001544,S13002573,S12000010,S16000102,S03000031,S08000024
S02001545,S13002573,S12000010,S16000102,S03000031,S08000024
S02001546,S13002572,S12000010,S16000102,S03000031,S08000024
S02001547,S13002575,S12000010,S16000102,S03000031,S08000024
S02001548,S13002575,S12000010,S16000102,S03000031,S08000024
S02001549,S13002575,S12000010,S16000102,S03000031,S08000024
S02001550,S13002574,S12000010,S16000102,S03000031,S08000024
S02001551,S13002574,S12000010,S16000102,S03000031,S08000024
S02001552,S13002574,S12000010,S16000102,S03000031,S08000024
S02001553,S13002576,S12000010,S16000102,S03000031,S08000024
S02001554,S13002576,S12000010,S16000102,S03000031,S08000024
S02001555,S13002576,S12000010,S16000102,S03000031,S08000024
S02001556,S13002577,S12000011,S16000140,S03000017,S08000021
S02001557,S13002578,S12000011,S16000140,S03000017,S08000021
S02001558,S13002578,S12000011,S16000140,S03000017,S08000021
S02001559,S13002578,S12000011,S16000140,S03000017,S08000021
S02001560,S13002578,S12000011,S16000140,S03000017,S08000021
S02001561,S13002577,S12000011,S16000103,S03000017,S08000021
S02001562,S13002577,S12000011,S16000103,S03000017,S08000021
S02001563,S13002581,S12000011,S16000103,S03000017,S08000021
S02001564,S13002581,S12000011,S16000103,S03000017,S08000021
S02001565,S13002582,S12000011,S16000103,S03000017,S08000021
S02001566,S13002581,S12000011,S16000103,S03000017,S08000021
S02001567,S13002582,S12000011,S16000103,S03000017,S08000021
S02001568,S13002582,S12000011,S16000103,S03000017,S08000021
S02001569,S13002580,S12000011,S16000103,S03000017,S08000021
S02001570,S13002580,S12000011,S16000103,S03000017,S08000021
S02001571,S13002580,S12000011,S16000103,S03000017,S08000021
S02001572,S13002579,S12000011,S16000103,S03000017,S08000021
S02001573,S13002579,S12000011,S16000103,S03000017,S08000021
S02001574,S13002579,S12000011,S16000103,S03000017,S08000021
S02001575,S13002579,S12000011,S16000103,S03000017,S08000021
S02001576,S13002584,S12000036,S16000107,S03000042,S08000024
S02001577,S13002584,S12000036,S16000107,S03000042,S08000024
S02001578,S13002584,S12000036,S16000107,S03000042,S08000024
S02001579,S13002584,S12000036,S16000107,S03000042,S08000024
S02001580,S13002590,S12000036,S16000107,S03000042,S08000024
S02001581,S13002590,S12000036,S16000107,S03000042,S08000024
S02001582,S13002584,S12000036,S16000107,S03000042,S08000024
S02001583,S13002589,S12000036,S16000107,S03000042,S08000024
S02001584,S13002589,S12000036,S16000107,S03000042,S08000024
S02001585,S13002589,S12000036,S16000107,S03000042,S08000024
S02001586,S13002589,S12000036,S16000107,S03000042,S08000024
S02001587,S13002589,S12000036,S16000107,S03000042,S08000024
S02001588,S13002589,S12000036,S16000107,S03000042,S08000024
S02001589,S13002591,S12000036,S16000108,S03000042,S08000024
S02001590,S13002589,S12000036,S16000104,S03000042,S08000024
S02001591,S13002589,S12000036,S16000104,S03000042,S08000024
S02001592,S13002591,S12000036,S16000108,S03000042,S08000024
S02001593,S13002591,S12000036,S16000108,S03000042,S08000024
S02001594,S13002592,S12000036,S16000108,S03000042,S08000024
S02001595,S13002592,S12000036,S16000108,S03000042,S08000024
S02001596,S13002590,S12000036,S16000107,S03000042,S08000024
S02001597,S13002590,S12000036,S16000107,S03000042,S08000024
S02001598,S13002590,S12000036,S16000107,S03000042,S08000024
S02001599,S13002590,S12000036,S16000107,S03000042,S08000024
S02001600,S13002598,S12000036,S16000105,S03000042,S08000024
S02001601,S13002598,S12000036,S16000105,S03000042,S08000024
S02001602,S13002598,S12000036,S16000105,S03000042,S08000024
S02001603,S13002598,S12000036,S16000105,S03000042,S08000024
S02001604,S13002598,S12000036,S16000105,S03000042,S08000024
S02001605,S13002598,S12000036,S16000105,S03000042,S08000024
S02001606,S13002598,S12000036,S16000105,S03000042,S08000024
S02001607,S13002598,S12000036,S16000108,S03000042,S08000024
S02001608,S13002598,S12000036,S16000108,S03000042,S08000024
S02001609,S13002597,S12000036,S16000108,S03000042,S08000024
S02001610,S13002597,S12000036,S16000108,S03000042,S08000024
S02001611,S13002597,S12000036,S16000104,S03000042,S08000024
S02001612,S13002597,S12000036,S16000108,S03000042,S08000024
S02001613,S13002597,S12000036,S16000108,S03000042,S08000024
S02001614,S13002592,S12000036,S16000108,S03000042,S08000024
S02001615,S13002592,S12000036,S16000108,S03000042,S08000024
S02001616,S13002592,S12000036,S16000108,S03000042,S08000024
S02001617,S13002592,S12000036,S16000108,S03000042,S08000024
S02001618,S13002591,S12000036,S16000108,S03000042,S08000024
S02001619,S13002589,S12000036,S16000104,S03000042,S08000024
S02001620,S13002593,S12000036,S16000104,S03000042,S08000024
S02001621,S13002597,S12000036,S16000104,S03000042,S08000024
S02001622,S13002593,S12000036,S16000104,S03000042,S08000024
S02001623,S13002597,S12000036,S16000104,S03000042,S08000024
S02001624,S13002593,S12000036,S16000105,S03000042,S08000024
S02001625,S13002596,S12000036,S16000105,S03000042,S08000024
S02001626,S13002596,S12000036,S16000105,S03000042,S08000024
S02001627,S13002599,S12000036,S16000105,S03000042,S08000024
S02001628,S13002599,S12000036,S16000105,S03000042,S08000024
S02001629,S13002599,S12000036,S16000105,S03000042,S08000024
S02001630,S13002599,S12000036,S16000105,S03000042,S08000024
S02001631,S13002599,S12000036,S16000105,S03000042,S08000024
S02001632,S13002599,S12000036,S16000105,S03000042,S08000024
S02001633,S13002599,S12000036,S16000105,S03000042,S08000024
S02001634,S13002596,S12000036,S16000105,S03000042,S08000024
S02001635,S13002596,S12000036,S16000105,S03000042,S08000024
S02001636,S13002596,S12000036,S16000105,S03000042,S08000024
S02001637,S13002596,S12000036,S16000105,S03000042,S08000024
S02001638,S13002596,S12000036,S16000105,S03000042,S08000024
S02001639,S13002595,S12000036,S16000106,S03000042,S08000024
S02001640,S13002595,S12000036,S16000106,S03000042,S08000024
S02001641,S13002595,S12000036,S16000106,S03000042,S08000024
