"Table 11: Numbers and crude rates1 of deaths involving COVID-19, by Intermediate Zone, between 1st March 2020 and 31st August 20202",,,,,,,,,,,,,
,,,,,,,,,,,,,
Intermediate Zone code,Name of Intermediate Zone,Local Authority,Number of Deaths,Population (2019 based),"rate per 100,000 population",,,,,,,,
S02002263,Paisley Ferguslie,Renfrewshire,1,"4,101",24.4,,,,,,,,
S02002264,Paisley North West,Renfrewshire,2,"3,615",55.3,,,,,,,,
S02002265,Paisley West,Renfrewshire,23,"5,471",420.4,,,,,,,,
S02002266,Paisley Foxbar,Renfrewshire,9,"4,720",190.7,,,,,,,,
S02002267,Paisley South West,Renfrewshire,1,"4,559",21.9,,,,,,,,
S02002268,Paisley Glenburn West,Renfrewshire,2,"4,053",49.3,,,,,,,,
S02002269,Paisley Glenburn East,Renfrewshire,5,"3,309",151.1,,,,,,,,
S02002270,Paisley South,Renfrewshire,0,"3,639",0.0,,,,,,,,
S02002271,Paisley South East,Renfrewshire,5,"5,964",83.8,,,,,,,,
S02002272,Paisley Dykebar,Renfrewshire,0,"4,022",0.0,,,,,,,,
S02002273,Paisley East,Renfrewshire,2,"4,146",48.2,,,,,,,,
S02002274,Paisley Central,Renfrewshire,2,"7,033",28.4,,,,,,,,
S02002275,Paisley North East,Renfrewshire,6,"5,958",100.7,,,,,,,,
S02002276,Paisley Ralston,Renfrewshire,2,"4,712",42.4,,,,,,,,
S02002277,Paisley Gallowhill and Hillington,Renfrewshire,8,"5,457",146.6,,,,,,,,
S02002278,Paisley North,Renfrewshire,4,"5,424",73.7,,,,,,,,
S02002279,Renfrew West,Renfrewshire,7,"6,849",102.2,,,,,,,,
S02002280,Renfrew South,Renfrewshire,3,"4,899",61.2,,,,,,,,
S02002281,Renfrew East,Renfrewshire,8,"5,413",147.8,,,,,,,,
S02002282,Renfrew North,Renfrewshire,3,"7,301",41.1,,,,,,,,
S02002283,Erskine East and Inchinnan,Renfrewshire,9,"5,517",163.1,,,,,,,,
S02002284,Erskine Central,Renfrewshire,2,"4,909",40.7,,,,,,,,
S02002285,Erskine West,Renfrewshire,5,"5,477",91.3,,,,,,,,
S02002286,Bishopton,Renfrewshire,2,"4,391",45.5,,,,,,,,
S02002287,Linwood South,Renfrewshire,9,"4,060",221.7,,,,,,,,
S02002288,Linwood North,Renfrewshire,4,"4,491",89.1,,,,,,,,
S02002289,Houston South,Renfrewshire,1,"3,040",32.9,,,,,,,,
S02002290,Houston North,Renfrewshire,3,"3,292",91.1,,,,,,,,
S02002291,Bridge of Weir,Renfrewshire,2,"4,836",41.4,,,,,,,,
S02002292,Tweeddale West Area,Scottish Borders,3,"6,177",48.6,,,,,,,,
S02002293,Peebles North,Scottish Borders,6,"4,291",139.8,,,,,,,,
S02002294,Peebles South,Scottish Borders,0,"4,286",0.0,,,,,,,,
S02002295,Tweeddale East Area,Scottish Borders,4,"5,758",69.5,,,,,,,,
S02002296,Earlston Stow and Clovernfords Area,Scottish Borders,1,"5,927",16.9,,,,,,,,
S02002297,Galashiels North,Scottish Borders,0,"3,758",0.0,,,,,,,,
S02002298,Galashiels West,Scottish Borders,3,"2,988",100.4,,,,,,,,
S02002299,Galashiels South,Scottish Borders,2,"3,333",60.0,,,,,,,,
S02002300,Langlee,Scottish Borders,0,"2,543",0.0,,,,,,,,
S02002301,Melrose and Tweedbank Area,Scottish Borders,3,"5,412",55.4,,,,,,,,
S02002302,Lauder and Area,Scottish Borders,1,"3,113",32.1,,,,,,,,
S02002303,Berwickshire Central,Scottish Borders,2,"4,174",47.9,,,,,,,,
S02002304,Duns,Scottish Borders,1,"2,787",35.9,,,,,,,,
S02002305,Berwickshire East,Scottish Borders,3,"3,750",80.0,,,,,,,,
S02002306,Eyemouth,Scottish Borders,11,"3,500",314.3,,,,,,,,
S02002307,Chirnside and Area,Scottish Borders,2,"3,961",50.5,,,,,,,,
S02002308,Coldstream and Area,Scottish Borders,2,"2,748",72.8,,,,,,,,
S02002309,Cheviot East,Scottish Borders,1,"4,631",21.6,,,,,,,,
S02002310,Kelso North,Scottish Borders,3,"3,224",93.1,,,,,,,,
S02002311,Kelso South,Scottish Borders,1,"2,358",42.4,,,,,,,,
S02002312,Cheviot West,Scottish Borders,1,"2,973",33.6,,,,,,,,
S02002313,St Boswells and Newtown Area,Scottish Borders,1,"3,798",26.3,,,,,,,,
S02002314,Jedburgh,Scottish Borders,0,"3,826",0.0,,,,,,,,
S02002315,Denholm and Hermitage,Scottish Borders,5,"4,083",122.5,,,,,,,,
S02002316,Burnfoot,Scottish Borders,0,"2,981",0.0,,,,,,,,
S02002317,Hawick Central,Scottish Borders,12,"4,230",283.7,,,,,,,,
S02002318,Hawick West End,Scottish Borders,2,"3,299",60.6,,,,,,,,
S02002319,Hawick North,Scottish Borders,0,"3,347",0.0,,,,,,,,
S02002320,Ettrick Yarrow and Liliesleaf Area,Scottish Borders,3,"2,751",109.1,,,,,,,,
S02002321,Selkirk,Scottish Borders,2,"5,503",36.3,,,,,,,,
S02002322,Shetland South,Shetland Islands,1,"3,354",29.8,,,,,,,,
S02002323,Lerwick South,Shetland Islands,0,"3,403",0.0,,,,,,,,
S02002324,Lerwick North,Shetland Islands,1,"4,549",22.0,,,,,,,,
S02002325,Central Shetland,Shetland Islands,0,"3,469",0.0,,,,,,,,
S02002326,East and West Mainland,Shetland Islands,4,"2,875",139.1,,,,,,,,
S02002327,North Mainland,Shetland Islands,1,"2,569",38.9,,,,,,,,
S02002328,North and East Isles,Shetland Islands,0,"2,701",0.0,,,,,,,,
S02002329,Carrick South,South Ayrshire,2,"5,314",37.6,,,,,,,,
S02002330,Girvan Glendoune,South Ayrshire,1,"3,194",31.3,,,,,,,,
S02002331,Girvan Ailsa,South Ayrshire,6,"3,191",188.0,,,,,,,,
S02002332,Maybole,South Ayrshire,2,"4,655",43.0,,,,,,,,
S02002333,Carrick North,South Ayrshire,4,"4,626",86.5,,,,,,,,
S02002334,Coylton,South Ayrshire,2,"3,779",52.9,,,,,,,,
S02002335,Alloway and Doonfoot,South Ayrshire,5,"5,957",83.9,,,,,,,,
S02002336,Castlehill and Kincaidston,South Ayrshire,2,"4,176",47.9,,,,,,,,
S02002337,Belmont,South Ayrshire,5,"5,326",93.9,,,,,,,,
S02002338,Holmston and Forehill,South Ayrshire,2,"4,912",40.7,,,,,,,,
S02002339,Ayr South Harbour and Town Centre,South Ayrshire,21,"5,448",385.5,,,,,,,,
S02002340,"Ayr North Harbour, Wallacetown and Newton South",South Ayrshire,3,"4,616",65.0,,,,,,,,
S02002341,Craigie,South Ayrshire,0,"2,594",0.0,,,,,,,,
S02002342,Dalmilling,South Ayrshire,0,"2,950",0.0,,,,,,,,
S02002343,"Lochside, Braehead and Whitletts",South Ayrshire,1,"4,216",23.7,,,,,,,,
S02002344,Newton North,South Ayrshire,1,"4,175",24.0,,,,,,,,
S02002345,Heathfield,South Ayrshire,6,"4,412",136.0,,,,,,,,
S02002346,Prestwick West,South Ayrshire,11,"4,051",271.5,,,,,,,,
S02002347,Prestwick East,South Ayrshire,7,"5,277",132.7,,,,,,,,
S02002348,Prestwick Airport and Monkton,South Ayrshire,19,"3,194",594.9,,,,,,,,
S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields",South Ayrshire,4,"5,829",68.6,,,,,,,,
S02002350,"Dundonald, Loans and Symington",South Ayrshire,5,"6,240",80.1,,,,,,,,
S02002351,Muirhead,South Ayrshire,0,"5,203",0.0,,,,,,,,
S02002352,Barassie,South Ayrshire,2,"3,919",51.0,,,,,,,,
S02002353,Troon,South Ayrshire,1,"5,356",18.7,,,,,,,,
S02002354,Clydesdale South,South Lanarkshire,2,"2,441",81.9,,,,,,,,
S02002355,"Biggar, Symington, Thankerton and Dolphinton",South Lanarkshire,3,"5,847",51.3,,,,,,,,
S02002356,"Carstairs, Carstairs Junction and Carnwath",South Lanarkshire,2,"4,777",41.9,,,,,,,,
S02002357,"Forth, Braehead and Auchengray",South Lanarkshire,5,"3,576",139.8,,,,,,,,
S02002358,Law,South Lanarkshire,1,"3,683",27.2,,,,,,,,
S02002359,Carluke West,South Lanarkshire,3,"2,820",106.4,,,,,,,,
S02002360,Carluke North,South Lanarkshire,1,"2,437",41.0,,,,,,,,
S02002361,Carluke East,South Lanarkshire,1,"4,088",24.5,,,,,,,,
S02002362,Carluke South,South Lanarkshire,4,"3,391",118.0,,,,,,,,
S02002363,"Crossford, Braidwood and Yieldshields",South Lanarkshire,1,"2,705",37.0,,,,,,,,
S02002364,Lanark North West,South Lanarkshire,3,"2,609",115.0,,,,,,,,
S02002365,Lanark North East,South Lanarkshire,0,"2,182",0.0,,,,,,,,
S02002366,Lanark South,South Lanarkshire,7,"3,872",180.8,,,,,,,,
S02002367,Hazelbank and Kirkfieldbank,South Lanarkshire,2,"3,965",50.4,,,,,,,,
S02002368,"Douglas, Coalburn and Rigside",South Lanarkshire,1,"4,293",23.3,,,,,,,,
S02002369,Lesmahagow,South Lanarkshire,4,"3,780",105.8,,,,,,,,
S02002370,Kirkmuirhill and Blackwood,South Lanarkshire,1,"4,264",23.5,,,,,,,,
S02002371,Ashgill and Netherburn,South Lanarkshire,6,"3,021",198.6,,,,,,,,
S02002372,Merryton and Meadowhill,South Lanarkshire,3,"3,259",92.1,,,,,,,,
S02002373,"Larkhall Central, Raploch, Millheugh and Burnhead",South Lanarkshire,0,"3,805",0.0,,,,,,,,
S02002374,Hareleeshill,South Lanarkshire,3,"4,001",75.0,,,,,,,,
S02002375,Strutherhill,South Lanarkshire,4,"3,526",113.4,,,,,,,,
S02002376,Stonehouse,South Lanarkshire,7,"5,774",121.2,,,,,,,,
S02002377,Strathaven South,South Lanarkshire,4,"4,591",87.1,,,,,,,,
S02002378,Strathaven North,South Lanarkshire,0,"2,881",0.0,,,,,,,,
S02002379,"Chapelton, Glengavel and Sandford",South Lanarkshire,5,"3,575",139.9,,,,,,,,
S02002380,"Glassford, Quarter and Allanton",South Lanarkshire,0,"4,310",0.0,,,,,,,,
S02002381,Eddlewood,South Lanarkshire,6,"3,516",170.6,,,,,,,,
S02002382,Low Waters,South Lanarkshire,3,"2,746",109.2,,,,,,,,
S02002383,Silvertonhill,South Lanarkshire,1,"2,815",35.5,,,,,,,,
S02002384,Hamilton Centre and Low Parks,South Lanarkshire,8,"4,179",191.4,,,,,,,,
S02002385,Laighstonehall,South Lanarkshire,2,"3,617",55.3,,,,,,,,
S02002386,Fairhill,South Lanarkshire,1,"2,035",49.1,,,,,,,,
S02002387,Woodhead and Meikle Earnock,South Lanarkshire,1,"2,730",36.6,,,,,,,,
S02002388,Little Earnock,South Lanarkshire,1,"6,779",14.8,,,,,,,,
S02002389,Earnock,South Lanarkshire,2,"4,040",49.5,,,,,,,,
S02002390,Hillhouse,South Lanarkshire,2,"4,098",48.8,,,,,,,,
S02002391,High Blantyre,South Lanarkshire,1,"3,751",26.7,,,,,,,,
S02002392,Blantyre South and Wheatlands,South Lanarkshire,3,"4,294",69.9,,,,,,,,
S02002393,Low Blantyre and Bardykes,South Lanarkshire,2,"3,279",61.0,,,,,,,,
S02002394,Blantytre North and Coatshill,South Lanarkshire,0,"2,936",0.0,,,,,,,,
S02002395,Burnbank North,South Lanarkshire,1,"4,886",20.5,,,,,,,,
S02002396,Burnbank Central and Udston,South Lanarkshire,4,"4,592",87.1,,,,,,,,
S02002397,Burnbank South and Chantinghall,South Lanarkshire,12,"3,773",318.0,,,,,,,,
S02002398,Whitehill,South Lanarkshire,3,"3,937",76.2,,,,,,,,
S02002399,Bothwell South,South Lanarkshire,1,"3,374",29.6,,,,,,,,
S02002400,Bothwell North,South Lanarkshire,2,"3,113",64.2,,,,,,,,
S02002401,Uddingston and Gardenside,South Lanarkshire,9,"6,700",134.3,,,,,,,,
S02002402,"Halfway, Hallside and Drumsagard",South Lanarkshire,3,"7,784",38.5,,,,,,,,
S02002403,Westburn and Newton,South Lanarkshire,3,"6,321",47.5,,,,,,,,
S02002404,Vicarland and Cairns,South Lanarkshire,2,"4,127",48.5,,,,,,,,
S02002405,Whitlawburn and Greenlees,South Lanarkshire,9,"4,605",195.4,,,,,,,,
S02002406,Cambuslang Central,South Lanarkshire,2,"3,793",52.7,,,,,,,,
S02002407,"Burgh, Eastfield and Silverbank",South Lanarkshire,4,"5,590",71.6,,,,,,,,
S02002408,Farme Cross and Gallowflat North,South Lanarkshire,6,"3,448",174.0,,,,,,,,
S02002409,Shawfield and Clincarthill,South Lanarkshire,14,"3,501",399.9,,,,,,,,
S02002410,Burnhill and Bankhead North,South Lanarkshire,5,"3,308",151.1,,,,,,,,
S02002411,Bankhead South,South Lanarkshire,2,"3,031",66.0,,,,,,,,
S02002412,Spittal,South Lanarkshire,1,"2,795",35.8,,,,,,,,
S02002413,High Crosshill,South Lanarkshire,1,"3,753",26.6,,,,,,,,
S02002414,Burnside and Springhall,South Lanarkshire,5,"4,358",114.7,,,,,,,,
S02002415,Fernhill and Cathkin,South Lanarkshire,5,"4,542",110.1,,,,,,,,
S02002416,Nerston and EK Landward Area,South Lanarkshire,21,"7,404",283.6,,,,,,,,
S02002417,Calderwood East,South Lanarkshire,1,"3,543",28.2,,,,,,,,
S02002418,Calderwood Central,South Lanarkshire,5,"3,717",134.5,,,,,,,,
S02002419,Calderwood West and Nerston,South Lanarkshire,6,"4,101",146.3,,,,,,,,
S02002420,St Leonards North,South Lanarkshire,3,"4,820",62.2,,,,,,,,
S02002421,St Leonards South,South Lanarkshire,6,"4,424",135.6,,,,,,,,
S02002422,East Mains,South Lanarkshire,3,"3,092",97.0,,,,,,,,
S02002423,West Mains,South Lanarkshire,3,"2,952",101.6,,,,,,,,
S02002424,Stewartfield East,South Lanarkshire,0,"2,628",0.0,,,,,,,,
S02002425,Stewartfield West,South Lanarkshire,0,"4,009",0.0,,,,,,,,
S02002426,"Thorntonhall, Jackton and Gardenhall",South Lanarkshire,0,"4,246",0.0,,,,,,,,
S02002427,Hairmyres and Westwood West,South Lanarkshire,5,"3,797",131.7,,,,,,,,
S02002428,Mossneuk and Newlandsmuir,South Lanarkshire,3,"2,616",114.7,,,,,,,,
S02002429,Crosshouse and Lindsayfield,South Lanarkshire,12,"5,375",223.3,,,,,,,,
S02002430,Whitehills West,South Lanarkshire,24,"4,034",594.9,,,,,,,,
S02002431,Greenhills,South Lanarkshire,6,"3,048",196.9,,,,,,,,
S02002432,Westwood South,South Lanarkshire,1,"4,156",24.1,,,,,,,,
S02002433,Westwood East,South Lanarkshire,12,"3,453",347.5,,,,,,,,
S02002434,The Murray,South Lanarkshire,3,"3,582",83.8,,,,,,,,
S02002435,"Birniehill, Kelvin and Whitehills East",South Lanarkshire,2,"3,914",51.1,,,,,,,,
S02002436,Blane Valley,Stirling,12,"5,473",219.3,,,,,,,,
S02002437,Balfron and Drymen,Stirling,1,"4,493",22.3,,,,,,,,
S02002438,Kippen and Fintry,Stirling,0,"3,197",0.0,,,,,,,,
S02002439,Cambusbarron,Stirling,4,"3,804",105.2,,,,,,,,
S02002440,Plean and Rural SE,Stirling,2,"3,113",64.2,,,,,,,,
S02002441,Cowie,Stirling,1,"2,724",36.7,,,,,,,,
S02002442,Fallin,Stirling,2,"2,852",70.1,,,,,,,,
S02002443,Bannockburn,Stirling,4,"3,369",118.7,,,,,,,,
S02002444,Hillpark,Stirling,2,"3,406",58.7,,,,,,,,
S02002445,Broomridge,Stirling,2,"5,364",37.3,,,,,,,,
S02002446,Borestone,Stirling,2,"4,027",49.7,,,,,,,,
S02002447,King's Park and Torbrex,Stirling,4,"4,230",94.6,,,,,,,,
S02002448,Braehead,Stirling,1,"2,483",40.3,,,,,,,,
S02002449,City Centre,Stirling,0,"3,805",0.0,,,,,,,,
S02002450,Raploch,Stirling,6,"3,609",166.3,,,,,,,,
S02002451,Cornton,Stirling,0,"3,265",0.0,,,,,,,,
S02002452,Causewayhead,Stirling,0,"2,852",0.0,,,,,,,,
S02002453,Bridge of Allan and University,Stirling,3,"7,129",42.1,,,,,,,,
S02002454,Forth,Stirling,1,"2,945",34.0,,,,,,,,
S02002455,Dunblane East,Stirling,0,"5,581",0.0,,,,,,,,
S02002456,Dunblane West,Stirling,5,"4,465",112.0,,,,,,,,
S02002457,Carse of Stirling,Stirling,1,"5,110",19.6,,,,,,,,
S02002458,Callander and Trossachs,Stirling,1,"3,705",27.0,,,,,,,,
S02002459,Highland,Stirling,1,"3,209",31.2,,,,,,,,
S02002460,IZ01,West Dunbartonshire,1,"3,876",25.8,,,,,,,,
S02002461,IZ02,West Dunbartonshire,22,"4,656",472.5,,,,,,,,
S02002462,IZ03,West Dunbartonshire,5,"5,520",90.6,,,,,,,,
S02002463,IZ04,West Dunbartonshire,3,"4,504",66.6,,,,,,,,
S02002464,IZ05,West Dunbartonshire,3,"3,531",85.0,,,,,,,,
S02002465,IZ06,West Dunbartonshire,2,"5,140",38.9,,,,,,,,
S02002466,IZ07,West Dunbartonshire,8,"4,367",183.2,,,,,,,,
S02002467,IZ08,West Dunbartonshire,7,"5,438",128.7,,,,,,,,
S02002468,IZ09,West Dunbartonshire,3,"4,852",61.8,,,,,,,,
S02002469,IZ10,West Dunbartonshire,9,"4,247",211.9,,,,,,,,
S02002470,IZ11,West Dunbartonshire,5,"4,877",102.5,,,,,,,,
S02002471,IZ12,West Dunbartonshire,20,"7,055",283.5,,,,,,,,
S02002472,IZ13,West Dunbartonshire,0,"5,567",0.0,,,,,,,,
S02002473,IZ14,West Dunbartonshire,4,"4,999",80.0,,,,,,,,
S02002474,IZ15,West Dunbartonshire,2,"5,922",33.8,,,,,,,,
S02002475,IZ16,West Dunbartonshire,18,"4,070",442.3,,,,,,,,
S02002476,IZ17,West Dunbartonshire,7,"5,888",118.9,,,,,,,,
S02002477,IZ18,West Dunbartonshire,6,"4,421",135.7,,,,,,,,
S02002478,Fauldhouse,West Lothian,2,"4,876",41.0,,,,,,,,
S02002479,Breich Valley,West Lothian,3,"4,911",61.1,,,,,,,,
S02002480,West Calder and Polbeth,West Lothian,9,"5,393",166.9,,,,,,,,
S02002481,"Bellsquarry, Adambrae and Kirkton",West Lothian,0,"4,787",0.0,,,,,,,,
S02002482,Bankton and Murieston,West Lothian,1,"5,270",19.0,,,,,,,,
S02002483,Dedridge East,West Lothian,14,"5,549",252.3,,,,,,,,
S02002484,Mid Calder and Kirknewton,West Lothian,0,"5,844",0.0,,,,,,,,
S02002485,East Calder,West Lothian,1,"6,316",15.8,,,,,,,,
S02002486,Pumpherston and Uphall Station,West Lothian,0,"2,840",0.0,,,,,,,,
S02002487,Craigshill,West Lothian,5,"5,905",84.7,,,,,,,,
S02002488,Howden,West Lothian,2,"4,711",42.5,,,,,,,,
S02002489,Livingston Village and Eliburn South,West Lothian,10,"5,332",187.5,,,,,,,,
S02002490,Ladywell,West Lothian,1,"4,926",20.3,,,,,,,,
S02002491,Knightsridge,West Lothian,0,"5,582",0.0,,,,,,,,
S02002492,Knightsridge and Deans North,West Lothian,0,"3,736",0.0,,,,,,,,
S02002493,Deans,West Lothian,0,"2,860",0.0,,,,,,,,
S02002494,Carmondean and Eliburn North,West Lothian,2,"5,852",34.2,,,,,,,,
S02002495,Seafield,West Lothian,1,"2,215",45.1,,,,,,,,
S02002496,Blackburn,West Lothian,0,"5,099",0.0,,,,,,,,
S02002497,Blaeberry Hill and East Whitburn,West Lothian,6,"5,971",100.5,,,,,,,,
S02002498,Whitburn Central,West Lothian,9,"4,788",188.0,,,,,,,,
S02002499,"Whitburn, Croftmalloch and Greenrigg",West Lothian,2,"4,673",42.8,,,,,,,,
S02002500,Armadale,West Lothian,3,"5,662",53.0,,,,,,,,
S02002501,Armadale South,West Lothian,3,"6,370",47.1,,,,,,,,
S02002502,"Bathgate, Wester Inch and Inchcross",West Lothian,2,"7,114",28.1,,,,,,,,
S02002503,Bathgate and Boghall,West Lothian,1,"4,283",23.3,,,,,,,,
S02002504,Bathgate East,West Lothian,2,"6,331",31.6,,,,,,,,
S02002505,Bathgate West,West Lothian,2,"5,999",33.3,,,,,,,,
S02002506,"Blackridge, Westfield and Torphichen",West Lothian,1,"3,743",26.7,,,,,,,,
S02002507,Linlithgow South,West Lothian,0,"5,825",0.0,,,,,,,,
S02002508,Linlithgow Bridge,West Lothian,7,"4,311",162.4,,,,,,,,
S02002509,Linlithgow North,West Lothian,2,"3,426",58.4,,,,,,,,
S02002510,"Winchburgh, Bridgend and Philpstoun",West Lothian,3,"5,705",52.6,,,,,,,,
S02002511,Broxburn Kirkhill,West Lothian,0,"4,504",0.0,,,,,,,,
S02002512,"Uphall, Dechmont and Ecclesmachan",West Lothian,6,"5,556",108.0,,,,,,,,
S02002513,Broxburn South,West Lothian,0,"3,883",0.0,,,,,,,,
S02002514,Broxburn East,West Lothian,0,"2,952",0.0,,,,,,,,
,,,,,,,,,,,,,
Refer to stats.gov.scot  to identify where intermediate zones are.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,
1) Some areas have very small numbers of deaths and caution should be used when comparing areas. There is more information about the volatility of small numbers on the NRS website,,,,,,,,,,,,,
2) Figures are for deaths occurring between 1 March 2020 and 31 July 2020. Figures only include deaths that were registered by 9 August 2020. More information on registration delays can be found on the NRS website:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,
